species,sexmorphs,flowersex,symmetry,pollination,habit,lifespan,flowersize,ovaryposition,numberofovules,numberofstamens,outcrossingrate,poratio,matingsystem,,,,,,,,,,,,
Lemna minor,mono,bisexual,NA,biotic,herb,short,0.1,superior,1,2,NA,NA,NA,,,,,,,,,,,,
Lepidobotrys staudtii,di,unisexual,actinomorphic,NA,woody,long,NA,superior,6,10,NA,NA,outcrossing,,,,,,,,,,,,
Limnanthes douglasii,di,bisexual,actinomorphic,biotic,herb,short,NA,superior,NA,10,0.85,NA,outcrossing,,,,,,,,,,,,
Linum perenne,mono,bisexual,actinomorphic,biotic,herb,long,3.5,superior,10,5,NA,NA,outcrossing,,,,,,,,,,,,
Liriodendron chinense,mono,bisexual,actinomorphic,biotic,woody,long,3.5,superior,9999,60,0.63,NA,intermediate,,,,,,,,,,,,
Loasa heterophylla,mono,bisexual,actinomorphic,NA,herb,long,NA,inferior,NA,7,NA,NA,NA,,,,,,,,,,,,
Lobelia angulata,di,polymorphic,zygomorphic,biotic,herb,long,1.4,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Ludwigia adscendens,mono,bisexual,actinomorphic,biotic,herb,long,3,inferior,40,10,NA,NA,NA,,,,,,,,,,,,
Lythrum salicaria,mono,bisexual,actinomorphic,biotic,herb,long,1.5,superior,NA,12,NA,NA,outcrossing,,,,,,,,,,,,
Malesherbia linearifolia,mono,bisexual,actinomorphic,biotic,herb,long,2.5,superior,1515,5,NA,NA,NA,,,,,,,,,,,,
Malpighia emarginata,mono,bisexual,zygomorphic,biotic,woody,long,2.3,superior,3,10,0.99,NA,outcrossing,,,,,,,,,,,,
Manihot esculenta,mono,unisexual,actinomorphic,biotic,herb,long,0.2,superior,3,10,0.96,NA,outcrossing,,,,,,,,,,,,
Manilkara zapota,mono,bisexual,actinomorphic,biotic,woody,long,1.4,superior,9,6,0.82,NA,outcrossing,,,,,,,,,,,,
Marathrum rubrum,mono,bisexual,actinomorphic,abiotic,herb,short,NA,superior,1444,8,0.07,616,selfing,,,,,,,,,,,,
Mayaca fluviatilis,mono,bisexual,actinomorphic,NA,herb,long,1,superior,6,3,NA,NA,NA,,,,,,,,,,,,
Mazus pumilus,mono,bisexual,zygomorphic,biotic,herb,short,0.7,superior,1998,4,NA,22.1,selfing,,,,,,,,,,,,
Medicago sativa,mono,bisexual,zygomorphic,biotic,herb,long,1.8,superior,NA,10,0.86,399,outcrossing,,,,,,,,,,,,
Melocactus curvispinus,mono,bisexual,NA,biotic,herb,long,NA,inferior,NA,NA,NA,400,NA,,,,,,,,,,,,
Menispermum canadense,di,unisexual,actinomorphic,NA,NA,long,NA,superior,6,17,NA,NA,NA,,,,,,,,,,,,
Menyanthes trifoliata,mono,bisexual,actinomorphic,biotic,herb,long,1.5,superior,20,5,NA,NA,outcrossing,,,,,,,,,,,,
Miconia affinis,NA,NA,actinomorphic,biotic,woody,long,0.5,intermediate/variable,NA,10,NA,NA,NA,,,,,,,,,,,,
Mirabilis jalapa,mono,bisexual,actinomorphic,biotic,herb,short,4,superior,1,5,NA,321,NA,,,,,,,,,,,,
Misodendrum linearifolium,di,unisexual,actinomorphic,NA,woody,NA,0.1,inferior,3,3,NA,NA,outcrossing,,,,,,,,,,,,
Mollugo verticillata,mono,bisexual,actinomorphic,biotic,herb,short,0.2,superior,40,4,NA,39.5,NA,,,,,,,,,,,,
Monotropa hypopitys,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,NA,9,NA,NA,outcrossing,,,,,,,,,,,,
Montinia caryophyllacea,di,unisexual,actinomorphic,NA,NA,NA,0.5,inferior,12,4,NA,NA,outcrossing,,,,,,,,,,,,
Moringa oleifera,mono,bisexual,zygomorphic,biotic,woody,long,2,superior,NA,5,0.77,523,intermediate,,,,,,,,,,,,
Myriophyllum sibiricum,mono,polymorphic,actinomorphic,biotic,herb,long,NA,inferior,4,8,NA,NA,NA,,,,,,,,,,,,
Myristica fragrans,di,unisexual,actinomorphic,biotic,woody,long,0.8,superior,1,10,0.9,797664,outcrossing,,,,,,,,,,,,
Myrothamnus moschata,di,unisexual,NA,NA,NA,NA,NA,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Myrtus communis,mono,bisexual,actinomorphic,biotic,woody,long,2.5,NA,NA,145,0.58,NA,intermediate,,,,,,,,,,,,
Narthecium ossifragum,NA,polymorphic,actinomorphic,abiotic,herb,long,NA,superior,NA,6,NA,NA,NA,,,,,,,,,,,,
Nelumbo lutea,mono,bisexual,actinomorphic,biotic,herb,long,10,superior,25,234,0.51,NA,intermediate,,,,,,,,,,,,
Nelumbo nucifera,mono,bisexual,actinomorphic,biotic,herb,long,16.5,superior,30,300,0.98,NA,outcrossing,,,,,,,,,,,,
Nemesia strumosa,mono,bisexual,NA,NA,herb,short,2.5,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Nepenthes macfarlanei,di,unisexual,actinomorphic,mixed,woody,long,1,NA,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Nicotiana tabacum,mono,bisexual,NA,biotic,herb,short,4.3,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Nolana humifusa,NA,bisexual,actinomorphic,biotic,herb,short,2.6,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Nothofagus dombeyi,mono,unisexual,NA,abiotic,woody,long,NA,NA,NA,11,0.96,NA,outcrossing,,,,,,,,,,,,
Nuphar advena,mono,bisexual,actinomorphic,biotic,herb,long,4,superior,NA,180,NA,NA,NA,,,,,,,,,,,,
Nymphaea odorata,mono,bisexual,NA,biotic,herb,long,12.5,intermediate/variable,2260,77,NA,NA,NA,,,,,,,,,,,,
Nymphoides peltata,mono,bisexual,actinomorphic,biotic,herb,long,3.5,superior,NA,5,0.71,NA,intermediate,,,,,,,,,,,,
Nyssa ogeche,di,unisexual,actinomorphic,NA,NA,NA,NA,inferior,NA,8,NA,NA,outcrossing,,,,,,,,,,,,
Ochroma pyramidale,mono,bisexual,NA,biotic,woody,long,13.5,superior,9999,5008,NA,NA,outcrossing,,,,,,,,,,,,
Octoknema borealis,di,unisexual,actinomorphic,NA,NA,NA,NA,NA,3,5,NA,NA,outcrossing,,,,,,,,,,,,
Octomeles sumatrana,di,unisexual,actinomorphic,NA,NA,NA,NA,inferior,NA,7,NA,NA,outcrossing,,,,,,,,,,,,
Olea europaea,mono,polymorphic,actinomorphic,abiotic,woody,long,0.3,superior,4,3,0.99,24000,outcrossing,,,,,,,,,,,,
Oryza sativa,mono,bisexual,zygomorphic,abiotic,herb,short,0.9,superior,1,6,0.02,NA,selfing,,,,,,,,,,,,
Ottelia acuminata,di,unisexual,NA,NA,herb,long,NA,NA,NA,11,NA,NA,outcrossing,,,,,,,,,,,,
Oxalis corniculata,mono,bisexual,actinomorphic,biotic,herb,short,1.2,superior,35,10,NA,105.4,intermediate,,,,,,,,,,,,
Paeonia californica,mono,bisexual,actinomorphic,biotic,herb,long,4,superior,136,106,NA,61434,NA,,,,,,,,,,,,
Panax quinquefolius,mono,polymorphic,actinomorphic,biotic,herb,long,0.3,inferior,4,5,0.41,NA,intermediate,,,,,,,,,,,,
Pandanus tectorius,di,unisexual,NA,mixed,woody,long,NA,superior,NA,18,0.98,NA,outcrossing,,,,,,,,,,,,
Pennantia corymbosa,di,unisexual,actinomorphic,NA,NA,NA,NA,superior,3,5,NA,NA,outcrossing,,,,,,,,,,,,
Peritoma arborea,mono,bisexual,zygomorphic,NA,woody,short,1.5,superior,10,6,NA,NA,NA,,,,,,,,,,,,
Perrottetia ovata,di,unisexual,NA,NA,NA,NA,NA,superior,8,5,NA,NA,outcrossing,,,,,,,,,,,,
Petunia axillaris,mono,bisexual,actinomorphic,biotic,herb,short,7.8,superior,NA,4,0.62,NA,intermediate,,,,,,,,,,,,
Peumus boldus,di,unisexual,actinomorphic,NA,NA,NA,NA,superior,5,39,NA,NA,outcrossing,,,,,,,,,,,,
Phelline comosa,di,unisexual,actinomorphic,NA,NA,NA,NA,superior,5,4,NA,NA,outcrossing,,,,,,,,,,,,
Phoenix dactylifera,di,unisexual,actinomorphic,mixed,woody,long,NA,superior,NA,6,NA,NA,outcrossing,,,,,,,,,,,,
Phragmites australis,mono,polymorphic,NA,abiotic,herb,long,NA,superior,3,3,NA,NA,outcrossing,,,,,,,,,,,,
Phryma leptostachya,mono,bisexual,zygomorphic,biotic,herb,long,NA,superior,2,4,NA,2535.5,NA,,,,,,,,,,,,
Phyllanthus niruri,mono,unisexual,actinomorphic,NA,herb,short,0.1,superior,NA,3,NA,NA,NA,,,,,,,,,,,,
Physena madagascariensis,di,unisexual,actinomorphic,NA,NA,NA,NA,superior,2,10,NA,NA,outcrossing,,,,,,,,,,,,
Picramnia polyantha,di,NA,actinomorphic,NA,NA,NA,NA,superior,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Piper amalago,mono,bisexual,actinomorphic,biotic,woody,long,NA,NA,NA,5,NA,NA,NA,,,,,,,,,,,,
Pittosporum dasycaulon,NA,polymorphic,zygomorphic,NA,woody,long,1.1,superior,NA,5,NA,2600,outcrossing,,,,,,,,,,,,
Plantago lanceolata,di,polymorphic,actinomorphic,mixed,herb,long,0.4,superior,NA,4,0.99,27797.3,outcrossing,,,,,,,,,,,,
Platea latifolia,di,unisexual,actinomorphic,NA,NA,NA,NA,superior,2,5,NA,NA,outcrossing,,,,,,,,,,,,
Plocosperma buxifolium,di,unisexual,zygomorphic,NA,NA,NA,0.8,superior,4,5,NA,NA,outcrossing,,,,,,,,,,,,
Plumbago auriculata,mono,bisexual,actinomorphic,biotic,woody,long,3.3,superior,1,5,NA,1295,outcrossing,,,,,,,,,,,,
Podophyllum peltatum,mono,bisexual,actinomorphic,biotic,herb,long,5,superior,43,15,NA,NA,outcrossing,,,,,,,,,,,,
Poeppigia procera,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,8,10,NA,NA,outcrossing,,,,,,,,,,,,
Polycarpon tetraphyllum,mono,bisexual,actinomorphic,biotic,herb,short,NA,superior,NA,3,NA,NA,NA,,,,,,,,,,,,
Polygala lewtonii,mono,bisexual,zygomorphic,biotic,herb,long,NA,superior,2,8,NA,NA,NA,,,,,,,,,,,,
Populus alba,di,unisexual,actinomorphic,abiotic,woody,long,NA,superior,NA,9,NA,NA,outcrossing,,,,,,,,,,,,
Portulaca oleracea,mono,bisexual,actinomorphic,NA,herb,short,0.5,intermediate/variable,NA,10,NA,NA,NA,,,,,,,,,,,,
Posidonia australis,mono,bisexual,NA,abiotic,herb,long,NA,superior,1,3,0.54,980000,intermediate,,,,,,,,,,,,
Posoqueria latifolia,mono,bisexual,zygomorphic,biotic,woody,long,NA,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Potamogeton berchtoldii,mono,unisexual,NA,abiotic,herb,short,NA,NA,4,4,NA,NA,NA,,,,,,,,,,,,
Primula sieboldii,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,NA,5,NA,NA,intermediate,,,,,,,,,,,,
Prionotes cerinthoides,mono,bisexual,actinomorphic,biotic,herb,long,2.2,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Prunus persica,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,2,46,0.41,NA,intermediate,,,,,,,,,,,,
Putranjiva roxburghii,di,unisexual,actinomorphic,NA,woody,long,0.6,superior,6,3,NA,NA,outcrossing,,,,,,,,,,,,
Qualea grandiflora,mono,bisexual,zygomorphic,biotic,woody,long,2,superior,168,1,0.99,NA,outcrossing,,,,,,,,,,,,
Quercus rubra,mono,unisexual,actinomorphic,abiotic,woody,long,NA,inferior,6,6,1,NA,outcrossing,,,,,,,,,,,,
Quinchamalium chilense,mono,bisexual,actinomorphic,biotic,herb,long,1.2,inferior,1,5,NA,NA,NA,,,,,,,,,,,,
Rafflesia keithii,di,unisexual,actinomorphic,NA,NA,long,80,inferior,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Ranunculus acris,mono,bisexual,actinomorphic,biotic,herb,long,2.2,superior,20,60,NA,NA,outcrossing,,,,,,,,,,,,
Ravenala madagascariensis,mono,bisexual,zygomorphic,biotic,woody,long,20.8,inferior,39,6,NA,NA,NA,,,,,,,,,,,,
Rhizophora stylosa,mono,bisexual,actinomorphic,abiotic,woody,long,NA,inferior,4,8,0.25,NA,intermediate,,,,,,,,,,,,
Ribes aureum,mono,bisexual,actinomorphic,biotic,woody,long,1.6,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Roridula dentata,mono,bisexual,actinomorphic,biotic,woody,long,2.5,superior,3,5,0.01,NA,selfing,,,,,,,,,,,,
Roridula gorgonias,mono,bisexual,actinomorphic,biotic,NA,long,2.5,intermediate/variable,9,5,0.03,NA,selfing,,,,,,,,,,,,
Roupala montana,mono,bisexual,actinomorphic,biotic,woody,long,0.8,superior,2,4,NA,NA,outcrossing,,,,,,,,,,,,
Ruta graveolens,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,16,9,NA,304,NA,,,,,,,,,,,,
Sagina procumbens,mono,bisexual,actinomorphic,NA,herb,long,NA,superior,NA,4,NA,NA,NA,,,,,,,,,,,,
Sagittaria latifolia,di,unisexual,actinomorphic,NA,herb,long,4,superior,NA,30,NA,NA,NA,,,,,,,,,,,,
Salpiglossis sinuata,NA,bisexual,zygomorphic,biotic,herb,short,5.5,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Sarracenia purpurea,mono,bisexual,actinomorphic,biotic,herb,long,6,superior,3205,65,1,NA,outcrossing,,,,,,,,,,,,
Sauvagesia rhodoleuca,mono,bisexual,NA,NA,woody,long,NA,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Saxifraga cernua,di,bisexual,actinomorphic,biotic,herb,long,15,intermediate/variable,282,10,NA,209.5,NA,,,,,,,,,,,,
Schinus molle,di,unisexual,actinomorphic,biotic,woody,long,NA,superior,3,10,NA,NA,outcrossing,,,,,,,,,,,,
Schisandra chinensis,mono,unisexual,actinomorphic,biotic,herb,long,NA,superior,81,6,0.75,NA,intermediate,,,,,,,,,,,,
Schizanthus grahamii,mono,bisexual,zygomorphic,biotic,herb,short,2.9,superior,NA,2,0.54,NA,intermediate,,,,,,,,,,,,
Scleranthus annuus,mono,bisexual,actinomorphic,NA,herb,short,0.2,superior,2,4,NA,237.5,selfing,,,,,,,,,,,,
Sesamum indicum,mono,bisexual,zygomorphic,biotic,herb,short,2.4,superior,1998,4,NA,NA,NA,,,,,,,,,,,,
Sextonia rubra,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,1,9,0.97,NA,outcrossing,,,,,,,,,,,,
Silene vulgaris,di,polymorphic,NA,biotic,herb,long,NA,superior,NA,10,0.44,218,intermediate,,,,,,,,,,,,
Simmondsia chinensis,di,unisexual,actinomorphic,abiotic,woody,long,0.4,superior,NA,10,NA,NA,outcrossing,,,,,,,,,,,,
Sinojackia xylocarpa,mono,bisexual,actinomorphic,NA,woody,long,1.8,intermediate/variable,21,13,NA,NA,NA,,,,,,,,,,,,
Solanum dulcamara,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Spergularia marina,mono,bisexual,actinomorphic,NA,herb,short,NA,superior,NA,4,0.02,40.7,selfing,,,,,,,,,,,,
Spiranthes cernua,mono,bisexual,zygomorphic,biotic,herb,long,NA,inferior,NA,1,NA,NA,NA,,,,,,,,,,,,
Spondias tuberosa,mono,bisexual,actinomorphic,biotic,woody,long,NA,NA,5,10,0.87,NA,outcrossing,,,,,,,,,,,,
Staphylea trifolia,mono,bisexual,actinomorphic,biotic,woody,long,0.8,superior,27,5,NA,NA,outcrossing,,,,,,,,,,,,
Stellaria media,mono,bisexual,actinomorphic,biotic,herb,short,0.5,superior,NA,6,NA,49.8,selfing,,,,,,,,,,,,
Sterculia apetala,mono,polymorphic,actinomorphic,biotic,woody,long,2.1,superior,55,15,NA,NA,outcrossing,,,,,,,,,,,,
Stylidium graminifolium,mono,bisexual,zygomorphic,biotic,herb,long,0.9,inferior,180,2,NA,NA,outcrossing,,,,,,,,,,,,
Swietenia macrophylla,mono,unisexual,actinomorphic,biotic,woody,long,1,superior,70,10,0.95,NA,outcrossing,,,,,,,,,,,,
Syringa vulgaris,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,4,2,NA,NA,NA,,,,,,,,,,,,
Tacca chantrieri,mono,bisexual,actinomorphic,biotic,herb,long,NA,inferior,NA,6,0.14,49.5,selfing,,,,,,,,,,,,
Tacca leontopetaloides,mono,bisexual,actinomorphic,biotic,herb,long,NA,inferior,69,6,NA,137,NA,,,,,,,,,,,,
Talinum paniculatum,mono,bisexual,actinomorphic,biotic,herb,long,0.8,superior,57,16,NA,136,NA,,,,,,,,,,,,
Tectona grandis,mono,bisexual,actinomorphic,biotic,woody,long,0.6,superior,NA,6,0.98,3207.5,outcrossing,,,,,,,,,,,,
Tetracentron sinense,mono,bisexual,actinomorphic,mixed,woody,long,0.2,intermediate/variable,24,4,NA,720,outcrossing,,,,,,,,,,,,
Tetroncium magellanicum,di,unisexual,NA,NA,NA,NA,NA,superior,4,4,NA,NA,outcrossing,,,,,,,,,,,,
Thalictrum minus,mono,bisexual,actinomorphic,abiotic,herb,long,0.7,superior,3,6,NA,NA,NA,,,,,,,,,,,,
Theobroma cacao,mono,bisexual,actinomorphic,biotic,woody,long,1,superior,NA,5,0.76,NA,intermediate,,,,,,,,,,,,
Thymelaea hirsuta,di,unisexual,actinomorphic,mixed,woody,long,2.9,superior,1,8,NA,NA,NA,,,,,,,,,,,,
Titanotrichum oldhamii,NA,bisexual,zygomorphic,NA,herb,long,3.5,superior,NA,4,NA,NA,NA,,,,,,,,,,,,
Trachelium caeruleum,mono,bisexual,actinomorphic,biotic,herb,long,0.5,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Tragopogon dubius,mono,bisexual,zygomorphic,biotic,herb,short,NA,inferior,2,5,0.15,NA,selfing,,,,,,,,,,,,
Tribulus terrestris,mono,bisexual,actinomorphic,biotic,herb,short,0.9,superior,100,10,NA,378.3,NA,,,,,,,,,,,,
Trichilia emetica,di,unisexual,actinomorphic,NA,NA,NA,1.6,superior,6,10,NA,NA,outcrossing,,,,,,,,,,,,
Trillium erectum,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,NA,6,0.53,537,intermediate,,,,,,,,,,,,
Trochocarpa laurina,NA,bisexual,actinomorphic,NA,woody,long,0.3,superior,NA,10,NA,NA,NA,,,,,,,,,,,,
Tropaeolum majus,mono,bisexual,zygomorphic,biotic,herb,short,4.5,superior,NA,8,NA,63480.5,NA,,,,,,,,,,,,
Tropaeolum tricolor,mono,bisexual,zygomorphic,biotic,herb,long,3,superior,3,8,NA,NA,NA,,,,,,,,,,,,
Turnera ulmifolia,mono,bisexual,actinomorphic,biotic,woody,long,5,superior,1515,5,0.19,NA,selfing,,,,,,,,,,,,
Typha latifolia,mono,unisexual,NA,abiotic,herb,long,NA,superior,1,2,NA,NA,NA,,,,,,,,,,,,
Urtica dioica,di,unisexual,NA,abiotic,herb,long,NA,superior,1,4,NA,NA,outcrossing,,,,,,,,,,,,
Vaccinium uliginosum,mono,bisexual,actinomorphic,biotic,woody,long,0.5,inferior,NA,9,NA,290.4,selfing,,,,,,,,,,,,
Valeriana officinalis,mono,bisexual,NA,biotic,herb,long,0.5,inferior,3,3,0.88,NA,outcrossing,,,,,,,,,,,,
Verbascum thapsus,mono,bisexual,zygomorphic,biotic,herb,short,1.5,superior,NA,5,0.68,NA,intermediate,,,,,,,,,,,,
Veronica anagallisaquatica,mono,bisexual,zygomorphic,mixed,herb,long,0.6,superior,NA,2,NA,43,NA,,,,,,,,,,,,
Viburnum rufidulum,mono,bisexual,actinomorphic,NA,woody,long,0.6,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Viola pubescens,mono,bisexual,zygomorphic,biotic,herb,long,NA,superior,27,5,1,NA,outcrossing,,,,,,,,,,,,
Viviania marifolia,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,6,10,NA,NA,outcrossing,,,,,,,,,,,,
Vriesea carinata,mono,bisexual,NA,biotic,herb,long,NA,superior,NA,6,0.46,NA,intermediate,,,,,,,,,,,,
Warburgia ugandensis,mono,bisexual,actinomorphic,NA,woody,long,NA,superior,NA,10,NA,NA,NA,,,,,,,,,,,,
Wurmbea biglandulosa,mono,polymorphic,actinomorphic,NA,herb,long,0.9,superior,NA,6,NA,NA,NA,,,,,,,,,,,,
Xanthosoma sagittifolium,mono,unisexual,NA,biotic,herb,long,NA,superior,140,5,NA,NA,NA,,,,,,,,,,,,
Ximenia americana,mono,bisexual,actinomorphic,biotic,woody,long,0.9,superior,NA,7,NA,NA,outcrossing,,,,,,,,,,,,
Zea mays,mono,unisexual,NA,abiotic,herb,short,0.7,superior,1,3,0.97,14818,outcrossing,,,,,,,,,,,,
Zelkova serrata,mono,polymorphic,NA,abiotic,woody,long,0.9,superior,2,7,1,NA,outcrossing,,,,,,,,,,,,
Zostera marina,mono,unisexual,NA,abiotic,herb,long,NA,NA,2,1,0.74,NA,intermediate,,,,,,,,,,,,