"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Abolboda pulchella","Xyridaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright",0.3,3,10.6,NA,NA,0.6,NA,5,4,NA,11
"Achatocarpus praecox","Achatocarpaceae","Caryophyllales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",6,16,1,2,1,0.65,NA,1,3,2,2
"Acorus calamus","Acoraceae","Acorales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull",1.75,6,4.5,3,1,0.35,3.72,NA,NA,NA,3
"Actinidia chinensis","Actinidiaceae","Ericales","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright",5,155,15,29,1,5.15,1.6,1,3,NA,NA
"Aerva javanica","Amaranthaceae","Caryophyllales","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,5,1,2.5,1,0.2,0.29,1,3,NA,2
"Aextoxicon punctatum","Aextoxicaceae","Berberidopsidales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",8,5.5,2,1,NA,0.8,325.25,1,3,NA,2
"Agalinis neoscotica","Orobanchaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.4,4,NA,2,NA,1.15,NA,5,4,NA,11
"Ailanthus altissima","Simaroubaceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull",30,10,1,5,NA,0.8,29.25,1,3,NA,2
"Ainsliaea cordifolia","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.375,5,1,2,1,1.5,NA,2,1,NA,3
"Ajuga reptans","Lamiaceae","Lamiales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright",0.275,4,NA,2,1,1.27,1.37,5,4,3,5
"Akebia quinata","Lardizabalaceae","Ranunculales","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright",9.5,6,150,6,0,1.1,20.5,NA,NA,NA,NA
"Albizia julibrissin","Fabaceae","Fabales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull",16,25,15,1,NA,0.8,37.37,NA,NA,1,1
"Alepis flavida","Loranthaceae","Santalales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,5.5,NA,NA,NA,1.6,NA,NA,NA,1,1
"Allanblackia floribunda","Clusiaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",30,185,18,5,NA,5,NA,1,3,NA,NA
"Allium sativum","Amaryllidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,6,2,3,NA,NA,NA,5,4,3,4
"Allium schoenoprasum","Amaryllidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.35,6,2,3,NA,1.04,0.99,3,1,3,4
"Allocasuarina verticillata","Casuarinaceae","Fagales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright",7,1,1,1.5,1,0.9,4,1,3,2,6
"Alluaudia procera","Didiereaceae","Caryophyllales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"other","bright_dull",15,8,1,3,1,0.2,2.22,1,3,2,2
"Alnus alnobetula","Betulaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual","inferior","none","actinomorphic","dull",10,4,1.5,2.5,1,NA,0.51,1,3,2,6
"Aloe thraskii","Asphodelaceae","Asparagales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"unisexual",NA,"nectar","zygomorphic","bright",2.75,6,NA,NA,NA,2.35,NA,NA,NA,1,NA
"Alphitonia excelsa","Rhamnaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",21,5,1,3,NA,1,22.06,NA,2,1,1
"Alseuosmia macrophylla","Alseuosmiaceae","Asterales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",2.375,5,51.5,2,NA,3.75,4.1,6,2,NA,1
"Alstroemeria aurea","Alstroemeriaceae","Liliales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","inferior","nectar","zygomorphic","bright",0.75,6,21.5,3,NA,5,18.91,5,4,3,5
"Alyssum simplex","Brassicaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.15,6,2,2,1,0.25,0.83,3,NA,4,3
"Amborella trichopoda","Amborellaceae","Amborellales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous_biotic","long_short","unisexual","superior","none_other","actinomorphic","bright",8,16.5,1,5,0,0.4,3.67,1,3,2,2
"Amsonia tabernaemontana","Apocynaceae","Gentianales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.65,5,NA,2,0,1.9,84.21,2,1,NA,NA
"Anarthria polyphylla","Restionaceae","Poales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",0.1,3,1,3,1,0.5,NA,NA,NA,NA,6
"Angelonia pubescens","Plantaginaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",0.7,4,NA,2,1,1.4,NA,5,4,4,NA
"Anigozanthos humilis","Haemodoraceae","Commelinales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"unisexual",NA,"nectar","zygomorphic","bright",0.55,6,51,3,NA,3.75,0.52,5,4,7,17
"Annona crassiflora","Annonaceae","Magnoliales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","actinomorphic","bright_dull",7,NA,NA,NA,NA,3.25,5936.27,NA,2,6,1
"Antirrhinum majus","Plantaginaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","zygomorphic","bright",0.5,4,NA,2,1,3.6,0.12,5,4,3,5
"Apium graveolens","Apiaceae","Apiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,5,1,2,1,0.15,0.34,2,NA,4,3
"Aquilegia canadensis","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.525,40,75,5,0,3,1.16,2,1,NA,NA
"Arabidopsis thaliana","Brassicaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous_biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic_other","bright",0.175,6,55,2,1,0.25,0.02,NA,NA,NA,10
"Aralidium pinnatifidum","Torricelliaceae","Apiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"actinomorphic","bright",10,5,0.5,3,1,0.25,NA,1,3,2,2
"Arctostaphylos uva-ursi","Ericaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long",NA,"autonomous_biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",0.105,10,1,5,1,0.2,18.49,6,5,NA,1
"Arum maculatum","Araceae","Alismatales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","unisexual","superior","none",NA,"dull",0.33,3.5,2,1,NA,0.15,101.73,NA,NA,NA,7
"Asparagus officinalis","Asparagaceae","Asparagales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","nectar_pollen","actinomorphic","bright_dull",1.75,6,NA,3,1,0.5,22.1,1,3,2,2
"Astelia alpina","Asteliaceae","Asparagales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","bisexual_unisexual","superior","nectar","actinomorphic","dull",0.3,6,12,3,1,0.4,1.15,NA,3,NA,NA
"Audouinia capitata","Bruniaceae","Bruniales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","intermediate","nectar","actinomorphic","bright",0.4,5,2,3,NA,1,NA,4,2,NA,NA
"Avicennia marina","Acanthaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",4.1,4,2,2,1,0.595,3400,4,2,1,1
"Azima tetracantha","Salvadoraceae","Brassicales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,NA,"bright_dull",0.9,4,1,2,1,3.5,34.8,1,3,2,2
"Bagassa guianensis","Moraceae","Rosales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual",NA,"none",NA,NA,37.5,2,NA,NA,NA,0.1,NA,1,3,2,8
"Balanophora laxiflora","Balanophoraceae","Santalales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"zygomorphic",NA,NA,5,NA,NA,NA,1.5,NA,1,3,NA,2
"Balanops pancheri","Balanopaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual",NA,"none",NA,NA,4,5,2,2,1,NA,NA,1,3,2,8
"Bdallophytum americanum","Cytinaceae","Malvales","herbaceous","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"biotic","long_short","unisexual","inferior","nectar","actinomorphic","bright",0.165,9,NA,9.5,NA,0.855,NA,1,3,NA,NA
"Begonia heracleifolia","Begoniaceae","Cucurbitales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","mixed",NA,"autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",NA,22.5,NA,3,NA,1.2,0.0072,2,4,3,5
"Bergeranthus multiceps","Aizoaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar_pollen","actinomorphic","bright",0.08,182.5,NA,NA,NA,2,NA,2,1,NA,16
"Berteroa incana","Brassicaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.7,6,NA,2,1,0.3,0.49,3,1,4,3
"Bertholletia excelsa","Lecythidaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",50,114,9,4,1,2.5,6500,4,2,6,1
"Beta vulgaris","Chenopodiaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long_short","mixed","abiotic","abiotic_autonomous","long_short","bisexual","intermediate","none","actinomorphic","dull",2,5,1,2.5,1,0.5,16.5,3,NA,NA,NA
"Bixa orellana","Bixaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior","pollen","actinomorphic","bright",10,425,46.6666666666667,2,1,4.5,25.08,NA,2,NA,12
"Borago officinalis","Boraginaceae","Boraginales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","short","bisexual","superior","nectar","actinomorphic","bright",0.5,5,2,2,1,2.5,16.1,3,1,3,4
"Brasenia schreberi","Cabombaceae","Nymphaeales","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",1.5,26.5,1.5,11.6,0,2,6.78,NA,NA,8,NA
"Bretschneidera sinensis","Akaniaceae","Brassicales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",20,8,2,3,1,3.5,NA,NA,2,NA,NA
"Bruguiera gymnorhiza","Rhizophoraceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",35,22,3.33333333333333,3,1,3.25,22380,4,2,6,1
"Buddleja davidii","Scrophulariaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",5,4,NA,NA,NA,0.65,0.1,4,2,NA,NA
"Bursera simaruba","Burseraceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","bisexual_unisexual",NA,"nectar","actinomorphic","dull",15,10,2,3,NA,0.6,117.35,1,3,1,NA
"Butomus umbellatus","Butomaceae","Alismatales","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous_biotic","long_short","bisexual","superior","nectar","actinomorphic","bright",0.8,9,50,6,NA,2.25,0.18,2,1,7,16
"Buxus balearica","Buxaceae","Buxales","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic_biotic","autonomous_biotic","short","unisexual",NA,"nectar_none",NA,NA,6,4,2,3,NA,0.6,7.45,1,3,2,6
"Byrsonima crassifolia","Malpighiaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",12.5,10,1,3,1,1.2,2.94,NA,NA,1,1
"Cabomba caroliniana","Cabombaceae","Nymphaeales","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",10,6,3,3,0,2.5,1.14,2,1,NA,NA
"Calceolaria purpurea","Calceolariaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"other","zygomorphic","bright",0.6,2,NA,NA,NA,1.27,0.01,5,4,7,17
"Camellia sinensis","Theaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",5,100,4,3,1,2.75,1405.19,6,5,6,1
"Canacomyrica monticola","Myricaceae","Fagales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none",NA,NA,7,6,1,1,NA,NA,NA,1,3,2,8
"Canna indica","Cannaceae","Zingiberales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior","nectar","other","bright",2.5,0.5,NA,3,1,6,155.15,2,1,3,5
"Cannabis sativa","Cannabaceae","Rosales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","short","outcrossing","abiotic","autonomous_biotic","long_short","unisexual","superior","none","actinomorphic","bright_dull",1.5,5,0.5,2,1,0.5,18.25,1,3,2,6
"Capparis zeylanica","Capparaceae","Brassicales","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"biotic","long","bisexual",NA,NA,"actinomorphic","bright",3.5,37.5,NA,4,NA,9,NA,6,5,NA,1
"Cardiocrinum cordatum","Liliaceae","Liliales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,"nectar","zygomorphic","bright_dull",1.35,6,312.5,3,NA,15,3.55,5,4,7,3
"Carex laxiflora","Cyperaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic",NA,NA,"unisexual","superior","none",NA,"dull",0.45,2,1,3,NA,0.3225,NA,NA,NA,NA,7
"Carica papaya","Caricaceae","Brassicales","woody","non-climbing","non-aquatic","dimorphic","long","mixed","autonomous_biotic","biotic","long","unisexual","superior","nectar_none_pollen","actinomorphic","bright",6,10,NA,5,1,4,22.62,1,3,NA,2
"Caryocar brasiliense","Caryocaraceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","intermediate","nectar","actinomorphic","bright",10,300,NA,3.5,NA,6,NA,6,5,NA,1
"Catalpa speciosa","Bignoniaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","zygomorphic","bright",30,2,NA,2,1,5.5,18.83,4,2,1,1
"Catharanthus roseus","Apocynaceae","Gentianales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous_biotic","short","bisexual",NA,"nectar","actinomorphic","bright",0.875,5,NA,2,NA,4.49,1.43,3,1,3,NA
"Caulophyllum thalictroides","Berberidaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.55,6,2.25,1,NA,0.9,198.63,3,1,NA,NA
"Centroplacus glaucinus","Centroplacaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic","bright",20,5,2,3,1,0.2,NA,1,3,2,2
"Ceratophyllum demersum","Ceratophyllaceae","Ceratophyllales","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","biotic","long","unisexual",NA,"none_pollen",NA,"dull",3,1,1,1,NA,0.125,NA,NA,NA,NA,7
"Cercidiphyllum japonicum","Cercidiphyllaceae","Saxifragales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none",NA,"dull",30,10,20.5,1,0,0.9,0.55,1,3,2,6
"Chimaphila umbellata","Ericaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.275,10,NA,5,1,1.4,0.002,4,2,NA,4
"Chimonanthus praecox","Calycanthaceae","Laurales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",8,7,2,9,0,2.75,109.6,4,2,NA,NA
"Chloranthus spicatus","Chloranthaceae","Chloranthales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"dull",0.6,2.33333333333333,1,1,NA,0.5,2.18,4,2,NA,1
"Chorispora tenella","Brassicaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.305,6,15.6,2,1,8.15,1.2,3,NA,5,3
"Cinnamomum camphora","Lauraceae","Laurales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",22.5,9,1,1,NA,0.3,108.24,NA,2,1,14
"Cirsium pitcheri","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic",NA,"long_short","mixed","biotic","abiotic","long",NA,"inferior",NA,"zygomorphic","bright",0.55,5,0.5,2,NA,2.5,NA,5,4,4,3
"Clarkia xantiana","Onagraceae","Myrtales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",0.45,8,500,4,1,3.5,0.21,2,1,3,5
"Claytonia virginica","Montiaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","short","bisexual","superior","nectar","actinomorphic","bright",0.225,5,2,3,1,0.85,1.22,3,1,3,4
"Cleistesiopsis bifaria","Orchidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","pollen","zygomorphic","bright_dull",0.315,2,NA,3,NA,7.5,NA,4,NA,7,17
