"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Monocarpwidth","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Monocarplength","Numberofstructuralcarpels","Fusionofovaries","Lengthofgynoecium","flowerSize","seedMass"
"Abolboda pulchella","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","zygomorphic","bright",0.3,0.4,3,10.6,90,47,NA,NA,NA,NA,0.6,NA
"Achatocarpus praecox","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",6,0.45,16,1,NA,NA,0.55,2,1,0.3,0.65,NA
"Acorus calamus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","zygomorphic","bright_dull",1.75,0.25,6,4.5,21,NA,0.425,3,1,0.14,0.35,3.72
"Actinidia chinensis","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none_pollen","actinomorphic","bright",5,NA,155,15,NA,NA,NA,29,1,NA,5.15,1.6
"Aerva javanica","herbaceous_woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,NA,5,1,NA,NA,NA,2.5,1,NA,0.2,0.29
"Aextoxicon punctatum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",8,0.55,5.5,2,NA,NA,0.85,1,NA,NA,0.8,325.25
"Agalinis neoscotica","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.4,0.55,4,999,NA,128.4,0.55,2,NA,NA,1.15,NA
"Ailanthus altissima","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior","nectar","actinomorphic","bright_dull",30,1,10,1,31.5,NA,4.05,5,NA,NA,0.8,29.25
"Ainsliaea cordifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.375,NA,5,1,NA,NA,0.4,2,1,NA,1.5,NA
"Ajuga reptans","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","biotic","short","bisexual_unisexual","superior","nectar_pollen","zygomorphic","bright",0.275,NA,4,NA,22.95,661.5,NA,2,1,NA,1.27,1.37
"Akebia quinata","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","unisexual","superior","none_pollen","actinomorphic","bright",9.5,3.725,6,150,17.5,NA,6.875,6,0,NA,1.1,20.5
"Albizia julibrissin","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull",16,2,25,15,100,2826,14.75,1,NA,NA,0.8,37.37
"Alepis flavida","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,NA,5.5,NA,NA,NA,NA,NA,NA,NA,1.6,NA
"Allanblackia floribunda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",30,9.5,185,18,NA,NA,35,5,NA,NA,5,NA
"Allium sativum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,NA,6,2,NA,NA,NA,3,NA,NA,NA,NA
"Allium schoenoprasum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.35,0.315,6,2,NA,NA,0.345,3,NA,NA,1.04,0.99
"Allocasuarina verticillata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright",7,NA,1,1,30,4364,NA,1.5,1,NA,0.9,4
"Alluaudia procera","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"other","bright_dull",15,NA,8,1,NA,NA,0.25,3,1,NA,0.2,2.22
"Alnus alnobetula","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual","inferior","none","actinomorphic","dull",10,NA,4,1.5,23,NA,NA,2.5,1,NA,NA,0.51
"Aloe thraskii","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",2.75,NA,6,NA,NA,NA,NA,NA,NA,NA,2.35,NA
"Alphitonia excelsa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",21,0.9,5,1,22,5550,0.85,3,NA,NA,1,22.06
"Alseuosmia macrophylla","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",2.375,NA,5,51.5,47.5,NA,NA,2,NA,NA,3.75,4.1
"Alstroemeria aurea","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","inferior","nectar","zygomorphic","bright",0.75,NA,6,21.5,NA,4500,2.25,3,NA,NA,5,18.91
"Alyssum simplex","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.15,0.45,6,2,36.55,NA,0.45,2,1,NA,0.25,0.83
"Amborella trichopoda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous_biotic","long_short","unisexual","superior","none_other","actinomorphic","bright",8,0.5,16.5,1,NA,1582,0.7,5,0,NA,0.4,3.67
"Amsonia tabernaemontana","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.65,NA,5,NA,NA,NA,NA,2,0,NA,1.9,84.21
"Anarthria polyphylla","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",0.1,NA,3,1,NA,NA,0.2,3,1,NA,0.5,NA
"Angelonia pubescens","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",0.7,NA,4,NA,NA,NA,NA,2,1,NA,1.4,NA
"Anigozanthos humilis","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",0.55,NA,6,51,NA,NA,NA,3,NA,NA,3.75,0.52
"Annona crassiflora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","actinomorphic","bright_dull",7,15,NA,NA,NA,NA,15,NA,NA,NA,3.25,5936.27
"Antirrhinum majus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","zygomorphic","bright",0.5,1.1,4,9999,17.5,NA,1.35,2,1,NA,3.6,0.12
"Apium graveolens","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,NA,5,1,23,NA,0.15,2,1,NA,0.15,0.34
"Aquilegia canadensis","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.525,NA,40,75,NA,610,NA,5,0,1.65,3,1.16
"Arabidopsis thaliana","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous_biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic_other","bright",0.175,NA,6,55,17.5,33,NA,2,1,NA,0.25,0.02
"Aralidium pinnatifidum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"actinomorphic","bright",10,NA,5,0.5,NA,NA,2.65,3,1,NA,0.25,NA
"Arctostaphylos uva-ursi","woody","non-climbing","non-aquatic","monomorphic","long",NA,"autonomous_biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",0.105,NA,10,1,54,NA,NA,5,1,NA,0.2,18.49
"Arum maculatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","unisexual","superior","none",NA,"dull",0.33,NA,3.5,2,38,4596,NA,1,NA,NA,0.15,101.73
"Asparagus officinalis","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","nectar_pollen","actinomorphic","bright_dull",1.75,NA,6,NA,38,NA,0.8,3,1,NA,0.5,22.1
"Astelia alpina","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior","nectar","actinomorphic","dull",0.3,NA,6,12,18.25,NA,1.2,3,1,NA,0.4,1.15
"Audouinia capitata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","intermediate","nectar","actinomorphic","bright",0.4,NA,5,2,NA,NA,NA,3,NA,NA,1,NA
"Avicennia marina","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",4.1,1.2,4,2,NA,4000,2.5,2,1,0.3,0.595,3400
"Azima tetracantha","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,NA,"bright_dull",0.9,NA,4,1,NA,NA,0.75,2,1,NA,3.5,34.8
"Bagassa guianensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual",NA,"none",NA,NA,37.5,3,2,NA,NA,NA,NA,NA,NA,NA,0.1,NA
"Balanophora laxiflora","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"zygomorphic",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1.5,NA
"Balanops pancheri","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual",NA,"none",NA,NA,4,NA,5,2,NA,NA,1.7,2,1,NA,NA,NA
"Bdallophytum americanum","herbaceous","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"biotic","long_short","unisexual","inferior","nectar","actinomorphic","bright",0.165,1.35,9,NA,NA,NA,NA,9.5,NA,NA,0.855,NA
"Begonia heracleifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","mixed",NA,"autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",NA,NA,22.5,NA,NA,NA,1,3,NA,NA,1.2,0.0072
"Bergeranthus multiceps","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar_pollen","actinomorphic","bright",0.08,0.5,182.5,NA,NA,NA,0.8,NA,NA,NA,2,NA
"Berteroa incana","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.7,0.16,6,NA,17.5,NA,0.6,2,1,NA,0.3,0.49
"Bertholletia excelsa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",50,NA,114,9,NA,26755,NA,4,1,NA,2.5,6500
"Beta vulgaris","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long_short","mixed","abiotic","abiotic_autonomous","long_short","bisexual_unisexual","intermediate","none","actinomorphic","dull",2,NA,5,1,18,29545.8333333333,NA,2.5,1,NA,0.5,16.5
"Bixa orellana","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior","pollen","actinomorphic","bright",10,4.275,425,46.6666666666667,NA,138636,6.265,2,1,NA,4.5,25.08
"Borago officinalis","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","short","bisexual","superior","nectar","actinomorphic","bright",0.5,NA,5,2,38,15875,NA,2,1,NA,2.5,16.1
"Brasenia schreberi","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",1.5,NA,26.5,1.5,47.6,9619,NA,11.6,0,NA,2,6.78
"Bretschneidera sinensis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",20,NA,8,2,50.5,14516.5,NA,3,1,NA,3.5,NA
"Bruguiera gymnorhiza","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",35,2,22,3.33333333333333,29.8,3e+05,20,3,1,2,3.25,22380
"Buddleja davidii","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",5,NA,4,NA,NA,106.59,NA,NA,NA,NA,0.65,0.1
"Bursera simaruba","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","bisexual_unisexual",NA,"nectar","actinomorphic","dull",15,NA,10,2,NA,NA,NA,3,NA,NA,0.6,117.35
"Butomus umbellatus","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous_biotic","long_short","bisexual","superior","nectar","actinomorphic","bright",0.8,NA,9,50,38,NA,NA,6,NA,NA,2.25,0.18
"Buxus balearica","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic_biotic","autonomous_biotic","short","unisexual",NA,"nectar_none",NA,NA,6,NA,4,2,NA,NA,NA,3,NA,0.6,0.6,7.45
"Byrsonima crassifolia","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",12.5,1.83,10,1,13,NA,NA,3,1,NA,1.2,2.94
"Cabomba caroliniana","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",10,NA,6,3,NA,62,NA,3,0,NA,2.5,1.14
"Calceolaria purpurea","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"other","zygomorphic","bright",0.6,NA,2,NA,NA,NA,NA,NA,NA,NA,1.27,0.01
"Camellia sinensis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",5,NA,100,4,38,NA,NA,3,1,NA,2.75,1405.19
"Canacomyrica monticola","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none",NA,NA,7,1,6,1,NA,NA,NA,1,NA,NA,NA,NA
"Canna indica","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior","nectar","other","bright",2.5,0.6,0.5,NA,49.5,NA,NA,3,1,NA,6,155.15
"Cannabis sativa","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","short","outcrossing","abiotic","autonomous_biotic","long_short","unisexual","superior","none","actinomorphic","bright_dull",1.5,NA,5,0.5,30,NA,NA,2,1,NA,0.5,18.25
"Capparis zeylanica","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"biotic","long","bisexual",NA,NA,"actinomorphic","bright",3.5,NA,37.5,999,NA,NA,3.25,4,NA,NA,9,NA
"Cardiocrinum cordatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,"nectar","zygomorphic","bright_dull",1.35,NA,6,312.5,NA,NA,NA,3,NA,NA,15,3.55
"Carex laxiflora","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic",NA,NA,"unisexual","superior","none",NA,"dull",0.45,NA,2,1,NA,NA,NA,3,NA,NA,0.3225,NA
"Carica papaya","woody","non-climbing","non-aquatic","dimorphic","long","mixed","autonomous_biotic","biotic","long","unisexual","superior","nectar_none_pollen","actinomorphic","bright",6,NA,10,999,34,NA,26.5,5,1,NA,4,22.62
"Caryocar brasiliense","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","intermediate","nectar","actinomorphic","bright",10,NA,300,NA,NA,NA,NA,3.5,NA,NA,6,NA
"Catalpa speciosa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","zygomorphic","bright",30,1.25,2,999,NA,NA,35,2,1,NA,5.5,18.83
"Catharanthus roseus","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous_biotic","short","bisexual",NA,"nectar","actinomorphic","bright",0.875,NA,5,NA,75.5,NA,NA,2,NA,NA,4.49,1.43
"Caulophyllum thalictroides","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.55,NA,6,2.25,NA,5286,NA,1,NA,NA,0.9,198.63
"Centroplacus glaucinus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic","bright",20,NA,5,2,NA,NA,0.7,3,1,NA,0.2,NA
"Ceratophyllum demersum","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","biotic","long","unisexual",NA,"none_pollen",NA,"dull",3,NA,1,1,21,NA,NA,1,NA,NA,0.125,NA
"Cercidiphyllum japonicum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none",NA,"dull",30,NA,10,20.5,NA,NA,NA,1,0,NA,0.9,0.55
"Chimaphila umbellata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.275,NA,10,1000,NA,32,NA,5,1,NA,1.4,0.002
"Chimonanthus praecox","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",8,NA,7,2,38,2847,NA,9,0,NA,2.75,109.6
"Chloranthus spicatus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"dull",0.6,NA,2.33333333333333,1,NA,NA,NA,1,NA,NA,0.5,2.18
"Chorispora tenella","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.305,0.175,6,15.6,17.5,NA,2.4,2,1,NA,8.15,1.2
"Cinnamomum camphora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",22.5,NA,9,1,17.5,NA,NA,1,NA,NA,0.3,108.24
"Cirsium pitcheri","herbaceous","non-climbing","non-aquatic",NA,"long_short","mixed","biotic","abiotic","long",NA,"inferior",NA,"zygomorphic","bright",0.55,NA,5,0.5,NA,NA,NA,2,NA,NA,2.5,NA
"Clarkia xantiana","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",0.45,NA,8,500,NA,84.5,2.25,4,1,NA,3.5,0.21
"Claytonia virginica","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","short","bisexual","superior","nectar","actinomorphic","bright",0.225,NA,5,2,NA,NA,NA,3,1,NA,0.85,1.22
"Cleistesiopsis bifaria","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","pollen","zygomorphic","bright_dull",0.315,NA,2,1853.5,NA,4,NA,3,NA,NA,7.5,NA
"Cleomella arborea","woody","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",1.25,0.9,6,9.5,NA,NA,2.5,1,NA,NA,1.52,NA
